year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2008/09,200,200,East Dunbartonshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.6%,
2008/09,200,200,East Dunbartonshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,200,200,East Dunbartonshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,0.6%,
2008/09,210,210,East Lothian,All publicly funded schools,Secondary,All Stages,Attendance,91.9%,
2008/09,210,210,East Lothian,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.6%,
2008/09,210,210,East Lothian,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,210,210,East Lothian,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.3%,
2008/09,220,220,East Renfrewshire,All publicly funded schools,Secondary,All Stages,Attendance,94%,
2008/09,220,220,East Renfrewshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,4.5%,
2008/09,220,220,East Renfrewshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,220,220,East Renfrewshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,1.5%,
2008/09,230,230,Edinburgh City,All publicly funded schools,Secondary,All Stages,Attendance,91.1%,
2008/09,230,230,Edinburgh City,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,230,230,Edinburgh City,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,230,230,Edinburgh City,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.5%,
2008/09,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,All Stages,Attendance,92.4%,
2008/09,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.6%,
2008/09,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,235,235,Na h-Eileanan Siar,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,0.8%,
2008/09,240,240,Falkirk,All publicly funded schools,Secondary,All Stages,Attendance,91.3%,
2008/09,240,240,Falkirk,All publicly funded schools,Secondary,All Stages,Authorised Absence,6%,
2008/09,240,240,Falkirk,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,240,240,Falkirk,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.6%,
2008/09,250,250,Fife,All publicly funded schools,Secondary,All Stages,Attendance,90.3%,
2008/09,250,250,Fife,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.6%,
2008/09,250,250,Fife,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,250,250,Fife,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,4%,
2008/09,260,260,Glasgow City,All publicly funded schools,Secondary,All Stages,Attendance,89.8%,
2008/09,260,260,Glasgow City,All publicly funded schools,Secondary,All Stages,Authorised Absence,7.4%,
2008/09,260,260,Glasgow City,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,260,260,Glasgow City,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.6%,
2008/09,270,270,Highland,All publicly funded schools,Secondary,All Stages,Attendance,90%,
2008/09,270,270,Highland,All publicly funded schools,Secondary,All Stages,Authorised Absence,7.4%,
2008/09,270,270,Highland,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,270,270,Highland,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.5%,
2008/09,280,280,Inverclyde,All publicly funded schools,Secondary,All Stages,Attendance,90.5%,
2008/09,280,280,Inverclyde,All publicly funded schools,Secondary,All Stages,Authorised Absence,7.1%,
2008/09,280,280,Inverclyde,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,280,280,Inverclyde,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.2%,
2008/09,290,290,Midlothian,All publicly funded schools,Secondary,All Stages,Attendance,91.1%,
2008/09,290,290,Midlothian,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.1%,
2008/09,290,290,Midlothian,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,290,290,Midlothian,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.7%,
2008/09,300,300,Moray,All publicly funded schools,Secondary,All Stages,Attendance,92.3%,
2008/09,300,300,Moray,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.1%,
2008/09,300,300,Moray,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,300,300,Moray,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.5%,
2008/09,310,310,North Ayrshire,All publicly funded schools,Secondary,All Stages,Attendance,91.5%,
2008/09,310,310,North Ayrshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,4.8%,
2008/09,310,310,North Ayrshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,310,310,North Ayrshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.5%,
2008/09,320,320,North Lanarkshire,All publicly funded schools,Secondary,All Stages,Attendance,89.6%,
2008/09,320,320,North Lanarkshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.4%,
2008/09,320,320,North Lanarkshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,320,320,North Lanarkshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.9%,
2008/09,330,330,Orkney Islands,All publicly funded schools,Secondary,All Stages,Attendance,92%,
2008/09,330,330,Orkney Islands,All publicly funded schools,Secondary,All Stages,Authorised Absence,4.3%,
2008/09,330,330,Orkney Islands,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,330,330,Orkney Islands,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.7%,
2008/09,340,340,Perth & Kinross,All publicly funded schools,Secondary,All Stages,Attendance,91.4%,
2008/09,340,340,Perth & Kinross,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.5%,
2008/09,340,340,Perth & Kinross,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,340,340,Perth & Kinross,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3%,
2008/09,350,350,Renfrewshire,All publicly funded schools,Secondary,All Stages,Attendance,91.9%,
2008/09,350,350,Renfrewshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,4.3%,
2008/09,350,350,Renfrewshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,350,350,Renfrewshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.7%,
2008/09,355,355,Scottish Borders,All publicly funded schools,Secondary,All Stages,Attendance,92.2%,
2008/09,355,355,Scottish Borders,All publicly funded schools,Secondary,All Stages,Authorised Absence,4.7%,
2008/09,355,355,Scottish Borders,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,355,355,Scottish Borders,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.9%,
2008/09,360,360,Shetland Islands,All publicly funded schools,Secondary,All Stages,Attendance,93%,
2008/09,360,360,Shetland Islands,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.1%,
2008/09,360,360,Shetland Islands,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,360,360,Shetland Islands,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,0.8%,
2008/09,370,370,South Ayrshire,All publicly funded schools,Secondary,All Stages,Attendance,90.5%,
2008/09,370,370,South Ayrshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.3%,
2008/09,370,370,South Ayrshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,370,370,South Ayrshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,4.2%,
2008/09,380,380,South Lanarkshire,All publicly funded schools,Secondary,All Stages,Attendance,91.5%,
2008/09,380,380,South Lanarkshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,8%,
2008/09,380,380,South Lanarkshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,380,380,South Lanarkshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,0.3%,
2008/09,390,390,Stirling,All publicly funded schools,Secondary,All Stages,Attendance,90.2%,
2008/09,390,390,Stirling,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,390,390,Stirling,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,390,390,Stirling,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.5%,
2008/09,400,400,West Lothian,All publicly funded schools,Secondary,All Stages,Attendance,91.6%,
2008/09,400,400,West Lothian,All publicly funded schools,Secondary,All Stages,Authorised Absence,6%,
2008/09,400,400,West Lothian,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,400,400,West Lothian,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.2%,
2008/09,5102030,270,Highland,Thurso High School,Secondary,All Stages,Attendance,90.1%,
2008/09,5102030,270,Highland,Thurso High School,Secondary,All Stages,Authorised Absence,6.6%,
2008/09,5102030,270,Highland,Thurso High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5102030,270,Highland,Thurso High School,Secondary,All Stages,Unauthorised Absence,3.1%,
2008/09,5102138,270,Highland,Wick High School,Secondary,All Stages,Attendance,87.9%,
2008/09,5102138,270,Highland,Wick High School,Secondary,All Stages,Authorised Absence,6.9%,
2008/09,5102138,270,Highland,Wick High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5102138,270,Highland,Wick High School,Secondary,All Stages,Unauthorised Absence,5%,
2008/09,5109434,270,Highland,Dornoch Academy,Secondary,All Stages,Attendance,91.6%,
2008/09,5109434,270,Highland,Dornoch Academy,Secondary,All Stages,Authorised Absence,7%,
2008/09,5109434,270,Highland,Dornoch Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5109434,270,Highland,Dornoch Academy,Secondary,All Stages,Unauthorised Absence,1.3%,
2008/09,5109531,270,Highland,Golspie High School,Secondary,All Stages,Attendance,92%,
2008/09,5109531,270,Highland,Golspie High School,Secondary,All Stages,Authorised Absence,7.1%,
2008/09,5109531,270,Highland,Golspie High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5109531,270,Highland,Golspie High School,Secondary,All Stages,Unauthorised Absence,0.9%,
2008/09,5110432,270,Highland,Farr High School,Secondary,All Stages,Attendance,92.6%,
2008/09,5110432,270,Highland,Farr High School,Secondary,All Stages,Authorised Absence,5.3%,
2008/09,5110432,270,Highland,Farr High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5110432,270,Highland,Farr High School,Secondary,All Stages,Unauthorised Absence,2.1%,
2008/09,5119030,270,Highland,Gairloch High School,Secondary,All Stages,Attendance,91.7%,
2008/09,5119030,270,Highland,Gairloch High School,Secondary,All Stages,Authorised Absence,7.3%,
2008/09,5119030,270,Highland,Gairloch High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119030,270,Highland,Gairloch High School,Secondary,All Stages,Unauthorised Absence,0.9%,
2008/09,5119138,270,Highland,Dingwall Academy,Secondary,All Stages,Attendance,88.8%,
2008/09,5119138,270,Highland,Dingwall Academy,Secondary,All Stages,Authorised Absence,7.2%,
2008/09,5119138,270,Highland,Dingwall Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119138,270,Highland,Dingwall Academy,Secondary,All Stages,Unauthorised Absence,3.9%,
2008/09,5119332,270,Highland,Fortrose Academy,Secondary,All Stages,Attendance,90.8%,
2008/09,5119332,270,Highland,Fortrose Academy,Secondary,All Stages,Authorised Absence,7.9%,
2008/09,5119332,270,Highland,Fortrose Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119332,270,Highland,Fortrose Academy,Secondary,All Stages,Unauthorised Absence,1.3%,
2008/09,5119634,270,Highland,Invergordon Academy,Secondary,All Stages,Attendance,90.5%,
2008/09,5119634,270,Highland,Invergordon Academy,Secondary,All Stages,Authorised Absence,6.7%,
2008/09,5119634,270,Highland,Invergordon Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119634,270,Highland,Invergordon Academy,Secondary,All Stages,Unauthorised Absence,2.8%,
2008/09,5119839,270,Highland,Tain Royal Academy,Secondary,All Stages,Attendance,89%,
2008/09,5119839,270,Highland,Tain Royal Academy,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,5119839,270,Highland,Tain Royal Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119839,270,Highland,Tain Royal Academy,Secondary,All Stages,Unauthorised Absence,4.6%,
2008/09,5119936,270,Highland,Ullapool High School,Secondary,All Stages,Attendance,91.6%,
2008/09,5119936,270,Highland,Ullapool High School,Secondary,All Stages,Authorised Absence,7.1%,
2008/09,5119936,270,Highland,Ullapool High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5119936,270,Highland,Ullapool High School,Secondary,All Stages,Unauthorised Absence,1.3%,
2008/09,5120136,270,Highland,Alness Academy,Secondary,All Stages,Attendance,89.5%,
2008/09,5120136,270,Highland,Alness Academy,Secondary,All Stages,Authorised Absence,10%,
2008/09,5120136,270,Highland,Alness Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5120136,270,Highland,Alness Academy,Secondary,All Stages,Unauthorised Absence,0.4%,
2008/09,5123437,270,Highland,Plockton High School,Secondary,All Stages,Attendance,93.1%,
2008/09,5123437,270,Highland,Plockton High School,Secondary,All Stages,Authorised Absence,5.7%,
2008/09,5123437,270,Highland,Plockton High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5123437,270,Highland,Plockton High School,Secondary,All Stages,Unauthorised Absence,1.1%,
2008/09,5128234,270,Highland,Portree High School,Secondary,All Stages,Attendance,89.5%,
2008/09,5128234,270,Highland,Portree High School,Secondary,All Stages,Authorised Absence,8.7%,
2008/09,5128234,270,Highland,Portree High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5128234,270,Highland,Portree High School,Secondary,All Stages,Unauthorised Absence,1.6%,
2008/09,5130239,270,Highland,Ardnamurchan High School,Secondary,All Stages,Attendance,91.3%,
2008/09,5130239,270,Highland,Ardnamurchan High School,Secondary,All Stages,Authorised Absence,2.5%,
2008/09,5130239,270,Highland,Ardnamurchan High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5130239,270,Highland,Ardnamurchan High School,Secondary,All Stages,Unauthorised Absence,6.2%,
2008/09,5135532,270,Highland,Kinlochleven High School,Secondary,All Stages,Attendance,93.1%,
2008/09,5135532,270,Highland,Kinlochleven High School,Secondary,All Stages,Authorised Absence,5.8%,
2008/09,5135532,270,Highland,Kinlochleven High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5135532,270,Highland,Kinlochleven High School,Secondary,All Stages,Unauthorised Absence,0.8%,
2008/09,5135834,270,Highland,Mallaig High School,Secondary,All Stages,Attendance,92.7%,
2008/09,5135834,270,Highland,Mallaig High School,Secondary,All Stages,Authorised Absence,5.2%,
2008/09,5135834,270,Highland,Mallaig High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5135834,270,Highland,Mallaig High School,Secondary,All Stages,Unauthorised Absence,2.1%,
2008/09,5135931,270,Highland,Lochaber High School,Secondary,All Stages,Attendance,91%,
2008/09,5135931,270,Highland,Lochaber High School,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,5135931,270,Highland,Lochaber High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5135931,270,Highland,Lochaber High School,Secondary,All Stages,Unauthorised Absence,2.7%,
2008/09,5142431,270,Highland,Kilchuimen Academy,Secondary,All Stages,Attendance,93%,
2008/09,5142431,270,Highland,Kilchuimen Academy,Secondary,All Stages,Authorised Absence,6.6%,
2008/09,5142431,270,Highland,Kilchuimen Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5142431,270,Highland,Kilchuimen Academy,Secondary,All Stages,Unauthorised Absence,0.4%,
2008/09,5142539,270,Highland,Glen Urquhart High School,Secondary,All Stages,Attendance,94.9%,
2008/09,5142539,270,Highland,Glen Urquhart High School,Secondary,All Stages,Authorised Absence,4.4%,
2008/09,5142539,270,Highland,Glen Urquhart High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5142539,270,Highland,Glen Urquhart High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2008/09,5142636,270,Highland,Inverness High School,Secondary,All Stages,Attendance,88.2%,
2008/09,5142636,270,Highland,Inverness High School,Secondary,All Stages,Authorised Absence,7.7%,
2008/09,5142636,270,Highland,Inverness High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5142636,270,Highland,Inverness High School,Secondary,All Stages,Unauthorised Absence,3.9%,
2008/09,5142830,270,Highland,Millburn Academy,Secondary,All Stages,Attendance,89.4%,
2008/09,5142830,270,Highland,Millburn Academy,Secondary,All Stages,Authorised Absence,6.5%,
2008/09,5142830,270,Highland,Millburn Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5142830,270,Highland,Millburn Academy,Secondary,All Stages,Unauthorised Absence,4%,
2008/09,5142938,270,Highland,Inverness Royal Academy,Secondary,All Stages,Attendance,90.1%,
2008/09,5142938,270,Highland,Inverness Royal Academy,Secondary,All Stages,Authorised Absence,5.7%,
2008/09,5142938,270,Highland,Inverness Royal Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5142938,270,Highland,Inverness Royal Academy,Secondary,All Stages,Unauthorised Absence,4.1%,
2008/09,5143837,270,Highland,Charleston Academy,Secondary,All Stages,Attendance,89.9%,
2008/09,5143837,270,Highland,Charleston Academy,Secondary,All Stages,Authorised Absence,9.9%,
2008/09,5143837,270,Highland,Charleston Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5143837,270,Highland,Charleston Academy,Secondary,All Stages,Unauthorised Absence,0.1%,
2008/09,5143934,270,Highland,Culloden Academy,Secondary,All Stages,Attendance,88.4%,
2008/09,5143934,270,Highland,Culloden Academy,Secondary,All Stages,Authorised Absence,10.5%,
2008/09,5143934,270,Highland,Culloden Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5143934,270,Highland,Culloden Academy,Secondary,All Stages,Unauthorised Absence,1%,
2008/09,5146038,270,Highland,Kingussie High School,Secondary,All Stages,Attendance,89.1%,
2008/09,5146038,270,Highland,Kingussie High School,Secondary,All Stages,Authorised Absence,8.9%,
2008/09,5146038,270,Highland,Kingussie High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5146038,270,Highland,Kingussie High School,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,5150132,270,Highland,Grantown Grammar School,Secondary,All Stages,Attendance,89.6%,
2008/09,5150132,270,Highland,Grantown Grammar School,Secondary,All Stages,Authorised Absence,7.5%,
2008/09,5150132,270,Highland,Grantown Grammar School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5150132,270,Highland,Grantown Grammar School,Secondary,All Stages,Unauthorised Absence,2.8%,
2008/09,5153131,270,Highland,Nairn Academy,Secondary,All Stages,Attendance,90.5%,
2008/09,5153131,270,Highland,Nairn Academy,Secondary,All Stages,Authorised Absence,7%,
2008/09,5153131,270,Highland,Nairn Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5153131,270,Highland,Nairn Academy,Secondary,All Stages,Unauthorised Absence,2.4%,
2008/09,5153239,270,Highland,Kinlochbervie High School,Secondary,All Stages,Attendance,94.7%,
2008/09,5153239,270,Highland,Kinlochbervie High School,Secondary,All Stages,Authorised Absence,4.6%,
2008/09,5153239,270,Highland,Kinlochbervie High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5153239,270,Highland,Kinlochbervie High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2008/09,5202736,300,Moray,Elgin Academy,Secondary,All Stages,Attendance,93%,
2008/09,5202736,300,Moray,Elgin Academy,Secondary,All Stages,Authorised Absence,3.3%,
2008/09,5202736,300,Moray,Elgin Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5202736,300,Moray,Elgin Academy,Secondary,All Stages,Unauthorised Absence,3.7%,
2008/09,5202930,300,Moray,Milne's High School,Secondary,All Stages,Attendance,92%,
2008/09,5202930,300,Moray,Milne's High School,Secondary,All Stages,Authorised Absence,5.6%,
2008/09,5202930,300,Moray,Milne's High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5202930,300,Moray,Milne's High School,Secondary,All Stages,Unauthorised Absence,2.4%,
2008/09,5203031,300,Moray,Forres Academy,Secondary,All Stages,Attendance,92.5%,
2008/09,5203031,300,Moray,Forres Academy,Secondary,All Stages,Authorised Absence,4.7%,
2008/09,5203031,300,Moray,Forres Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5203031,300,Moray,Forres Academy,Secondary,All Stages,Unauthorised Absence,2.8%,
2008/09,5203139,300,Moray,Lossiemouth High School,Secondary,All Stages,Attendance,92.1%,
2008/09,5203139,300,Moray,Lossiemouth High School,Secondary,All Stages,Authorised Absence,4.7%,
2008/09,5203139,300,Moray,Lossiemouth High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5203139,300,Moray,Lossiemouth High School,Secondary,All Stages,Unauthorised Absence,3.1%,
2008/09,5208734,300,Moray,Buckie High School,Secondary,All Stages,Attendance,91.9%,
2008/09,5208734,300,Moray,Buckie High School,Secondary,All Stages,Authorised Absence,5.7%,
2008/09,5208734,300,Moray,Buckie High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5208734,300,Moray,Buckie High School,Secondary,All Stages,Unauthorised Absence,2.3%,
2008/09,5208831,300,Moray,Keith Grammar School,Secondary,All Stages,Attendance,93%,
2008/09,5208831,300,Moray,Keith Grammar School,Secondary,All Stages,Authorised Absence,4.9%,
2008/09,5208831,300,Moray,Keith Grammar School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5208831,300,Moray,Keith Grammar School,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,5208939,300,Moray,Speyside High School,Secondary,All Stages,Attendance,92%,
2008/09,5208939,300,Moray,Speyside High School,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,5208939,300,Moray,Speyside High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5208939,300,Moray,Speyside High School,Secondary,All Stages,Unauthorised Absence,1.6%,
2008/09,5210038,300,Moray,Elgin High School,Secondary,All Stages,Attendance,92%,
2008/09,5210038,300,Moray,Elgin High School,Secondary,All Stages,Authorised Absence,6.6%,
2008/09,5210038,300,Moray,Elgin High School,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5210038,300,Moray,Elgin High School,Secondary,All Stages,Unauthorised Absence,1.3%,
2008/09,5213231,110,Aberdeenshire,Banff Academy,Secondary,All Stages,Attendance,91.5%,
2008/09,5213231,110,Aberdeenshire,Banff Academy,Secondary,All Stages,Authorised Absence,6.3%,
2008/09,5213231,110,Aberdeenshire,Banff Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5213231,110,Aberdeenshire,Banff Academy,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,All Stages,Attendance,91.5%,
2008/09,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,All Stages,Authorised Absence,6.4%,
2008/09,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5219736,110,Aberdeenshire,Fraserburgh Academy,Secondary,All Stages,Unauthorised Absence,1.9%,
2008/09,5220734,110,Aberdeenshire,Peterhead Academy,Secondary,All Stages,Attendance,90.6%,
2008/09,5220734,110,Aberdeenshire,Peterhead Academy,Secondary,All Stages,Authorised Absence,6.5%,
2008/09,5220734,110,Aberdeenshire,Peterhead Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5220734,110,Aberdeenshire,Peterhead Academy,Secondary,All Stages,Unauthorised Absence,2.8%,
2008/09,5221234,110,Aberdeenshire,Turriff Academy,Secondary,All Stages,Attendance,92.1%,
2008/09,5221234,110,Aberdeenshire,Turriff Academy,Secondary,All Stages,Authorised Absence,6.7%,
2008/09,5221234,110,Aberdeenshire,Turriff Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5221234,110,Aberdeenshire,Turriff Academy,Secondary,All Stages,Unauthorised Absence,1.2%,
2008/09,5222133,110,Aberdeenshire,Mintlaw Academy,Secondary,All Stages,Attendance,91.8%,
2008/09,5222133,110,Aberdeenshire,Mintlaw Academy,Secondary,All Stages,Authorised Absence,5.4%,
2008/09,5222133,110,Aberdeenshire,Mintlaw Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5222133,110,Aberdeenshire,Mintlaw Academy,Secondary,All Stages,Unauthorised Absence,2.7%,
2008/09,5230934,110,Aberdeenshire,Alford Academy,Secondary,All Stages,Attendance,94.7%,
2008/09,5230934,110,Aberdeenshire,Alford Academy,Secondary,All Stages,Authorised Absence,4.9%,
2008/09,5230934,110,Aberdeenshire,Alford Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5230934,110,Aberdeenshire,Alford Academy,Secondary,All Stages,Unauthorised Absence,0.4%,
2008/09,5231132,110,Aberdeenshire,Ellon Academy,Secondary,All Stages,Attendance,93.1%,
2008/09,5231132,110,Aberdeenshire,Ellon Academy,Secondary,All Stages,Authorised Absence,6.3%,
2008/09,5231132,110,Aberdeenshire,Ellon Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5231132,110,Aberdeenshire,Ellon Academy,Secondary,All Stages,Unauthorised Absence,0.5%,
2008/09,5231434,110,Aberdeenshire,The Gordon Schools,Secondary,All Stages,Attendance,91.8%,
2008/09,5231434,110,Aberdeenshire,The Gordon Schools,Secondary,All Stages,Authorised Absence,7.1%,
2008/09,5231434,110,Aberdeenshire,The Gordon Schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5231434,110,Aberdeenshire,The Gordon Schools,Secondary,All Stages,Unauthorised Absence,1.1%,
2008/09,5231639,110,Aberdeenshire,Inverurie Academy,Secondary,All Stages,Attendance,93%,
2008/09,5231639,110,Aberdeenshire,Inverurie Academy,Secondary,All Stages,Authorised Absence,4.2%,
2008/09,5231639,110,Aberdeenshire,Inverurie Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5231639,110,Aberdeenshire,Inverurie Academy,Secondary,All Stages,Unauthorised Absence,2.7%,
2008/09,5232333,110,Aberdeenshire,Meldrum Academy,Secondary,All Stages,Attendance,93%,
2008/09,5232333,110,Aberdeenshire,Meldrum Academy,Secondary,All Stages,Authorised Absence,5.2%,
2008/09,5232333,110,Aberdeenshire,Meldrum Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5232333,110,Aberdeenshire,Meldrum Academy,Secondary,All Stages,Unauthorised Absence,1.7%,
2008/09,5233038,110,Aberdeenshire,Kemnay Academy,Secondary,All Stages,Attendance,92.8%,
2008/09,5233038,110,Aberdeenshire,Kemnay Academy,Secondary,All Stages,Authorised Absence,5.5%,
2008/09,5233038,110,Aberdeenshire,Kemnay Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5233038,110,Aberdeenshire,Kemnay Academy,Secondary,All Stages,Unauthorised Absence,1.5%,
2008/09,5234034,100,Aberdeen City,Bucksburn Academy,Secondary,All Stages,Attendance,91.5%,
2008/09,5234034,100,Aberdeen City,Bucksburn Academy,Secondary,All Stages,Authorised Absence,6.3%,
2008/09,5234034,100,Aberdeen City,Bucksburn Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,5234034,100,Aberdeen City,Bucksburn Academy,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,5235634,100,Aberdeen City,Bridge Of Don Academy,Secondary,All Stages,Attendance,92.4%,
